评论ID,课程名,评论内容,评分,人工情感标注,评论日期
R040000,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2025-11-26
R040001,机器学习入门,部分章节跳过太多细节看不懂,3,负面,2025-11-22
R040002,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-16
R040003,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-23
R040004,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-22
R040005,机器学习入门,课程节奏合适知识点覆盖全面,5,正面,2026-01-15
R040006,SQL 实战,老师很有耐心代码讲解细致入微,4,正面,2025-11-03
R040007,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-11
R040008,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-11-09
R040009,SQL 实战,内容扎实答疑及时学习体验很好,5,正面,2026-01-03
R040010,SQL 实战,内容扎实答疑及时学习体验很好,4,正面,2025-11-21
R040011,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2026-01-09
R040012,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2025-11-24
R040013,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2026-01-23
R040014,机器学习入门,节奏太快没基础跟不上,2,负面,2025-11-16
R040015,机器学习入门,答疑回复慢课程体验一般,3,负面,2025-11-21
R040016,SQL 实战,节奏太快没基础跟不上,1,负面,2025-11-16
R040017,Excel 高级应用,课程节奏合适知识点覆盖全面,4,正面,2025-11-20
R040018,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-12
R040019,SQL 实战,答疑回复慢课程体验一般,1,负面,2026-01-01
R040020,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-13
R040021,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-29
R040022,Python 数据分析,内容偏浅不适合进阶学员,1,负面,2025-12-23
R040023,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-11-24
R040024,机器学习入门,PPT太旧案例不够新,3,负面,2025-11-26
R040025,机器学习入门,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-13
R040026,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-02
R040027,SQL 实战,内容偏浅不适合进阶学员,3,负面,2026-01-12
R040028,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-20
R040029,机器学习入门,答疑回复慢课程体验一般,3,负面,2025-11-17
R040030,Python 数据分析,PPT太旧案例不够新,3,负面,2025-11-11
R040031,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-08
R040032,Python 数据分析,部分章节跳过太多细节看不懂,1,负面,2026-01-13
R040033,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-22
R040034,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-12-16
R040035,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2025-12-02
R040036,Python 数据分析,课程节奏合适知识点覆盖全面,4,正面,2025-12-10
R040037,Excel 高级应用,节奏太快没基础跟不上,2,负面,2026-01-11
R040038,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2026-01-28
R040039,Python 数据分析,课程节奏合适知识点覆盖全面,4,正面,2025-12-02
R040040,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-11
R040041,Python 数据分析,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-02
R040042,Excel 高级应用,内容偏浅不适合进阶学员,2,负面,2026-01-03
R040043,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-11-11
R040044,SQL 实战,PPT太旧案例不够新,2,负面,2025-11-26
R040045,Python 数据分析,答疑回复慢课程体验一般,3,负面,2025-11-25
R040046,Excel 高级应用,老师很有耐心代码讲解细致入微,5,正面,2026-01-23
R040047,机器学习入门,部分章节跳过太多细节看不懂,2,负面,2025-11-13
R040048,机器学习入门,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-13
R040049,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2026-01-15
R040050,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-21
R040051,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2025-12-27
R040052,Python 数据分析,课程节奏合适知识点覆盖全面,5,正面,2026-01-25
R040053,机器学习入门,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-06
R040054,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2025-12-26
R040055,SQL 实战,课程节奏合适知识点覆盖全面,4,正面,2026-01-24
R040056,Excel 高级应用,答疑回复慢课程体验一般,3,负面,2025-11-15
R040057,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2026-01-14
R040058,Excel 高级应用,老师很有耐心代码讲解细致入微,5,正面,2025-11-07
R040059,Python 数据分析,答疑回复慢课程体验一般,2,负面,2025-12-28
R040060,机器学习入门,节奏太快没基础跟不上,1,负面,2025-11-02
R040061,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2025-12-04
R040062,Excel 高级应用,节奏太快没基础跟不上,3,负面,2026-01-11
R040063,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-25
R040064,Excel 高级应用,PPT太旧案例不够新,1,负面,2025-11-28
R040065,SQL 实战,节奏太快没基础跟不上,2,负面,2026-01-03
R040066,Excel 高级应用,部分章节跳过太多细节看不懂,1,负面,2026-01-02
R040067,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2026-01-19
R040068,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2025-12-29
R040069,SQL 实战,答疑回复慢课程体验一般,1,负面,2025-12-24
R040070,机器学习入门,部分章节跳过太多细节看不懂,3,负面,2025-11-07
R040071,SQL 实战,老师很有耐心代码讲解细致入微,5,正面,2026-01-21
R040072,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-02
R040073,Python 数据分析,部分章节跳过太多细节看不懂,1,负面,2026-01-26
R040074,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2025-12-21
R040075,Python 数据分析,内容扎实答疑及时学习体验很好,5,正面,2025-11-16
R040076,机器学习入门,老师很有耐心代码讲解细致入微,4,正面,2025-11-22
R040077,SQL 实战,内容偏浅不适合进阶学员,1,负面,2025-12-02
R040078,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2025-12-03
R040079,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-11
R040080,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2026-01-27
R040081,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-28
R040082,Python 数据分析,内容扎实答疑及时学习体验很好,5,正面,2025-11-16
R040083,机器学习入门,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-23
R040084,Excel 高级应用,答疑回复慢课程体验一般,1,负面,2026-01-17
R040085,Excel 高级应用,PPT太旧案例不够新,3,负面,2026-01-20
R040086,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-23
R040087,机器学习入门,答疑回复慢课程体验一般,2,负面,2025-12-02
R040088,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,5,正面,2025-12-09
R040089,SQL 实战,节奏太快没基础跟不上,2,负面,2025-11-22
R040090,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2025-12-11
R040091,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-05
R040092,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2025-12-04
R040093,机器学习入门,内容扎实答疑及时学习体验很好,5,正面,2025-11-06
R040094,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-19
R040095,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-11
R040096,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2025-11-14
R040097,机器学习入门,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-10
R040098,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-07
R040099,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-23
R040100,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-12-15
R040101,机器学习入门,课程节奏合适知识点覆盖全面,5,正面,2025-12-29
R040102,SQL 实战,部分章节跳过太多细节看不懂,2,负面,2025-12-19
R040103,SQL 实战,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-01
R040104,SQL 实战,节奏太快没基础跟不上,2,负面,2026-01-02
R040105,Python 数据分析,PPT太旧案例不够新,1,负面,2026-01-10
R040106,机器学习入门,老师很有耐心代码讲解细致入微,4,正面,2025-11-11
R040107,Excel 高级应用,内容扎实答疑及时学习体验很好,5,正面,2025-12-25
R040108,SQL 实战,答疑回复慢课程体验一般,3,负面,2025-12-02
R040109,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2026-01-06
R040110,机器学习入门,内容偏浅不适合进阶学员,2,负面,2026-01-20
R040111,Excel 高级应用,课程节奏合适知识点覆盖全面,4,正面,2025-12-11
R040112,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-12
R040113,Python 数据分析,内容偏浅不适合进阶学员,2,负面,2025-11-08
R040114,Python 数据分析,PPT太旧案例不够新,2,负面,2025-12-20
R040115,SQL 实战,内容扎实答疑及时学习体验很好,5,正面,2025-12-20
R040116,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-02
R040117,Python 数据分析,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-05
R040118,SQL 实战,课程节奏合适知识点覆盖全面,5,正面,2025-11-10
R040119,机器学习入门,PPT太旧案例不够新,1,负面,2026-01-27
R040120,机器学习入门,内容扎实答疑及时学习体验很好,5,正面,2025-12-19
R040121,机器学习入门,性价比高课后作业有挑战性但能学到东西,5,正面,2025-12-15
R040122,SQL 实战,老师讲得很清晰案例丰富非常推荐,5,正面,2025-11-22
R040123,Excel 高级应用,内容扎实答疑及时学习体验很好,5,正面,2025-12-07
R040124,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2026-01-15
R040125,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-05
R040126,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-11
R040127,Python 数据分析,PPT太旧案例不够新,1,负面,2026-01-19
R040128,机器学习入门,内容扎实答疑及时学习体验很好,4,正面,2025-11-06
R040129,SQL 实战,部分章节跳过太多细节看不懂,3,负面,2026-01-11
R040130,机器学习入门,部分章节跳过太多细节看不懂,3,负面,2025-12-04
R040131,SQL 实战,老师很有耐心代码讲解细致入微,4,正面,2025-11-17
R040132,SQL 实战,课程节奏合适知识点覆盖全面,4,正面,2025-12-16
R040133,Python 数据分析,部分章节跳过太多细节看不懂,2,负面,2025-11-19
R040134,机器学习入门,内容扎实答疑及时学习体验很好,5,正面,2025-12-26
R040135,Excel 高级应用,节奏太快没基础跟不上,1,负面,2026-01-17
R040136,Excel 高级应用,答疑回复慢课程体验一般,1,负面,2025-12-01
R040137,Python 数据分析,课程节奏合适知识点覆盖全面,5,正面,2025-11-28
R040138,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-19
R040139,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-29
R040140,Python 数据分析,PPT太旧案例不够新,3,负面,2026-01-16
R040141,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2025-11-21
R040142,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2026-01-22
R040143,机器学习入门,内容偏浅不适合进阶学员,2,负面,2026-01-26
R040144,SQL 实战,老师很有耐心代码讲解细致入微,5,正面,2025-11-18
R040145,SQL 实战,老师讲得很清晰案例丰富非常推荐,5,正面,2025-11-29
R040146,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,5,正面,2025-11-30
R040147,SQL 实战,内容扎实答疑及时学习体验很好,4,正面,2025-11-06
R040148,Excel 高级应用,答疑回复慢课程体验一般,2,负面,2025-12-07
R040149,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-06
R040150,Python 数据分析,课程节奏合适知识点覆盖全面,5,正面,2025-12-08
R040151,机器学习入门,部分章节跳过太多细节看不懂,2,负面,2026-01-28
R040152,SQL 实战,课程节奏合适知识点覆盖全面,5,正面,2026-01-01
R040153,Python 数据分析,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-04
R040154,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2025-12-31
R040155,机器学习入门,答疑回复慢课程体验一般,2,负面,2025-11-28
R040156,SQL 实战,节奏太快没基础跟不上,2,负面,2025-12-07
R040157,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-09
R040158,Excel 高级应用,节奏太快没基础跟不上,1,负面,2025-12-10
R040159,Python 数据分析,节奏太快没基础跟不上,2,负面,2025-12-30
R040160,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-12
R040161,Python 数据分析,课程节奏合适知识点覆盖全面,4,正面,2026-01-12
R040162,Python 数据分析,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-08
R040163,SQL 实战,节奏太快没基础跟不上,1,负面,2025-12-24
R040164,SQL 实战,课程节奏合适知识点覆盖全面,5,正面,2025-11-12
R040165,SQL 实战,节奏太快没基础跟不上,1,负面,2025-12-29
R040166,Excel 高级应用,答疑回复慢课程体验一般,3,负面,2026-01-14
R040167,SQL 实战,内容偏浅不适合进阶学员,3,负面,2025-11-27
R040168,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-22
R040169,机器学习入门,PPT太旧案例不够新,1,负面,2025-12-31
R040170,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-25
R040171,Excel 高级应用,老师很有耐心代码讲解细致入微,5,正面,2026-01-03
R040172,Excel 高级应用,答疑回复慢课程体验一般,1,负面,2025-11-08
R040173,SQL 实战,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-27
R040174,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-02
R040175,Python 数据分析,老师讲得很清晰案例丰富非常推荐,4,正面,2025-11-23
R040176,机器学习入门,部分章节跳过太多细节看不懂,1,负面,2026-01-21
R040177,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-09
R040178,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2025-12-23
R040179,SQL 实战,性价比高课后作业有挑战性但能学到东西,5,正面,2025-12-22
R040180,Excel 高级应用,节奏太快没基础跟不上,3,负面,2025-12-25
R040181,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2025-12-18
R040182,机器学习入门,老师很有耐心代码讲解细致入微,5,正面,2025-11-12
R040183,Python 数据分析,答疑回复慢课程体验一般,1,负面,2026-01-16
R040184,机器学习入门,PPT太旧案例不够新,2,负面,2025-11-16
R040185,机器学习入门,节奏太快没基础跟不上,2,负面,2026-01-02
R040186,Python 数据分析,内容扎实答疑及时学习体验很好,5,正面,2025-11-25
R040187,Python 数据分析,内容扎实答疑及时学习体验很好,5,正面,2025-11-17
R040188,SQL 实战,部分章节跳过太多细节看不懂,2,负面,2025-12-13
R040189,SQL 实战,答疑回复慢课程体验一般,2,负面,2025-11-12
R040190,Excel 高级应用,PPT太旧案例不够新,3,负面,2025-11-14
R040191,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2026-01-21
R040192,Python 数据分析,内容扎实答疑及时学习体验很好,5,正面,2025-11-13
R040193,机器学习入门,答疑回复慢课程体验一般,3,负面,2026-01-09
R040194,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-17
R040195,机器学习入门,课程节奏合适知识点覆盖全面,5,正面,2025-12-20
R040196,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-08
R040197,SQL 实战,PPT太旧案例不够新,3,负面,2026-01-24
R040198,Python 数据分析,答疑回复慢课程体验一般,3,负面,2025-11-20
R040199,Python 数据分析,内容偏浅不适合进阶学员,2,负面,2025-12-04
R040200,Python 数据分析,课程节奏合适知识点覆盖全面,4,正面,2025-11-07
R040201,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2025-11-25
R040202,SQL 实战,老师很有耐心代码讲解细致入微,4,正面,2026-01-07
R040203,Excel 高级应用,内容偏浅不适合进阶学员,3,负面,2025-12-04
R040204,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-25
R040205,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-23
R040206,机器学习入门,内容扎实答疑及时学习体验很好,4,正面,2025-12-26
R040207,Excel 高级应用,内容扎实答疑及时学习体验很好,5,正面,2025-12-11
R040208,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2026-01-22
R040209,Excel 高级应用,课程节奏合适知识点覆盖全面,5,正面,2025-12-10
R040210,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-07
R040211,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2026-01-21
R040212,SQL 实战,PPT太旧案例不够新,2,负面,2025-12-12
R040213,Excel 高级应用,PPT太旧案例不够新,3,负面,2025-12-13
R040214,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2026-01-16
R040215,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-20
R040216,Python 数据分析,部分章节跳过太多细节看不懂,2,负面,2025-12-08
R040217,Excel 高级应用,答疑回复慢课程体验一般,3,负面,2025-12-11
R040218,Excel 高级应用,内容扎实答疑及时学习体验很好,5,正面,2025-11-24
R040219,SQL 实战,内容偏浅不适合进阶学员,2,负面,2025-12-15
R040220,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2026-01-22
R040221,机器学习入门,老师讲得很清晰案例丰富非常推荐,5,正面,2025-12-17
R040222,Excel 高级应用,部分章节跳过太多细节看不懂,3,负面,2025-12-13
R040223,SQL 实战,节奏太快没基础跟不上,1,负面,2025-11-18
R040224,Python 数据分析,节奏太快没基础跟不上,3,负面,2025-12-28
R040225,机器学习入门,老师讲得很清晰案例丰富非常推荐,4,正面,2025-11-13
R040226,SQL 实战,部分章节跳过太多细节看不懂,3,负面,2026-01-21
R040227,机器学习入门,老师很有耐心代码讲解细致入微,5,正面,2026-01-16
R040228,SQL 实战,老师很有耐心代码讲解细致入微,4,正面,2025-11-25
R040229,SQL 实战,PPT太旧案例不够新,2,负面,2025-12-21
R040230,机器学习入门,节奏太快没基础跟不上,3,负面,2025-12-24
R040231,机器学习入门,PPT太旧案例不够新,2,负面,2025-11-06
R040232,SQL 实战,课程节奏合适知识点覆盖全面,4,正面,2026-01-12
R040233,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2025-11-04
R040234,机器学习入门,节奏太快没基础跟不上,2,负面,2025-11-01
R040235,Excel 高级应用,课程节奏合适知识点覆盖全面,4,正面,2025-12-26
R040236,Excel 高级应用,课程节奏合适知识点覆盖全面,5,正面,2025-11-03
R040237,SQL 实战,内容扎实答疑及时学习体验很好,5,正面,2026-01-07
R040238,机器学习入门,节奏太快没基础跟不上,1,负面,2025-11-03
R040239,机器学习入门,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-08
R040240,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-30
R040241,SQL 实战,内容扎实答疑及时学习体验很好,5,正面,2026-01-06
R040242,机器学习入门,内容偏浅不适合进阶学员,3,负面,2026-01-20
R040243,SQL 实战,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-20
R040244,SQL 实战,答疑回复慢课程体验一般,1,负面,2025-11-07
R040245,Python 数据分析,答疑回复慢课程体验一般,3,负面,2026-01-04
R040246,Python 数据分析,答疑回复慢课程体验一般,2,负面,2025-11-19
R040247,SQL 实战,老师很有耐心代码讲解细致入微,5,正面,2025-12-24
R040248,SQL 实战,答疑回复慢课程体验一般,2,负面,2026-01-28
R040249,Excel 高级应用,内容偏浅不适合进阶学员,1,负面,2025-11-25
R040250,Excel 高级应用,PPT太旧案例不够新,1,负面,2026-01-21
R040251,机器学习入门,内容偏浅不适合进阶学员,3,负面,2025-12-05
R040252,Excel 高级应用,内容偏浅不适合进阶学员,3,负面,2025-11-26
R040253,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2026-01-25
R040254,SQL 实战,答疑回复慢课程体验一般,3,负面,2025-11-12
R040255,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2025-11-17
R040256,Python 数据分析,部分章节跳过太多细节看不懂,1,负面,2025-12-24
R040257,机器学习入门,节奏太快没基础跟不上,1,负面,2025-12-25
R040258,SQL 实战,内容扎实答疑及时学习体验很好,4,正面,2026-01-02
R040259,SQL 实战,答疑回复慢课程体验一般,3,负面,2025-12-09
R040260,SQL 实战,节奏太快没基础跟不上,3,负面,2025-12-12
R040261,机器学习入门,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-31
R040262,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2025-11-28
R040263,Excel 高级应用,部分章节跳过太多细节看不懂,2,负面,2025-12-11
R040264,机器学习入门,内容扎实答疑及时学习体验很好,4,正面,2025-12-28
R040265,Python 数据分析,课程节奏合适知识点覆盖全面,5,正面,2025-11-16
R040266,Python 数据分析,PPT太旧案例不够新,1,负面,2025-11-19
R040267,机器学习入门,答疑回复慢课程体验一般,3,负面,2025-11-09
R040268,Python 数据分析,部分章节跳过太多细节看不懂,1,负面,2025-11-30
R040269,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2026-01-09
R040270,机器学习入门,节奏太快没基础跟不上,1,负面,2025-11-09
R040271,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-11-29
R040272,机器学习入门,PPT太旧案例不够新,2,负面,2025-11-02
R040273,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-11-30
R040274,SQL 实战,课程节奏合适知识点覆盖全面,4,正面,2026-01-05
R040275,Excel 高级应用,PPT太旧案例不够新,3,负面,2025-12-31
R040276,SQL 实战,内容扎实答疑及时学习体验很好,4,正面,2026-01-03
R040277,Python 数据分析,PPT太旧案例不够新,2,负面,2026-01-04
R040278,SQL 实战,老师很有耐心代码讲解细致入微,5,正面,2025-12-31
R040279,Python 数据分析,内容偏浅不适合进阶学员,3,负面,2025-11-12
R040280,SQL 实战,性价比高课后作业有挑战性但能学到东西,5,正面,2025-12-29
R040281,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2025-11-26
R040282,机器学习入门,老师很有耐心代码讲解细致入微,4,正面,2025-12-27
R040283,SQL 实战,PPT太旧案例不够新,1,负面,2025-11-05
R040284,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2026-01-03
R040285,SQL 实战,课程节奏合适知识点覆盖全面,4,正面,2025-12-22
R040286,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-10
R040287,Excel 高级应用,课程节奏合适知识点覆盖全面,4,正面,2026-01-15
R040288,机器学习入门,内容扎实答疑及时学习体验很好,4,正面,2025-12-16
R040289,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2026-01-08
R040290,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-04
R040291,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-05
R040292,Excel 高级应用,内容扎实答疑及时学习体验很好,5,正面,2026-01-05
R040293,机器学习入门,老师讲得很清晰案例丰富非常推荐,5,正面,2025-12-13
R040294,Excel 高级应用,老师很有耐心代码讲解细致入微,5,正面,2025-12-25
R040295,机器学习入门,老师讲得很清晰案例丰富非常推荐,4,正面,2025-11-02
R040296,SQL 实战,答疑回复慢课程体验一般,3,负面,2025-11-29
R040297,机器学习入门,课程节奏合适知识点覆盖全面,5,正面,2025-11-18
R040298,机器学习入门,课程节奏合适知识点覆盖全面,5,正面,2025-11-02
R040299,SQL 实战,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-22
R040300,SQL 实战,性价比高课后作业有挑战性但能学到东西,5,正面,2025-12-26
R040301,机器学习入门,答疑回复慢课程体验一般,3,负面,2026-01-03
R040302,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2025-12-09
R040303,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2026-01-20
R040304,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2026-01-12
R040305,SQL 实战,部分章节跳过太多细节看不懂,2,负面,2026-01-23
R040306,Python 数据分析,内容扎实答疑及时学习体验很好,4,正面,2025-12-26
R040307,Excel 高级应用,节奏太快没基础跟不上,3,负面,2026-01-29
R040308,SQL 实战,老师很有耐心代码讲解细致入微,5,正面,2025-11-02
R040309,SQL 实战,内容偏浅不适合进阶学员,1,负面,2026-01-03
R040310,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-09
R040311,SQL 实战,PPT太旧案例不够新,3,负面,2025-12-10
R040312,SQL 实战,PPT太旧案例不够新,2,负面,2025-12-21
R040313,机器学习入门,答疑回复慢课程体验一般,3,负面,2026-01-23
R040314,Excel 高级应用,部分章节跳过太多细节看不懂,1,负面,2026-01-05
R040315,机器学习入门,部分章节跳过太多细节看不懂,2,负面,2026-01-24
R040316,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-23
R040317,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-17
R040318,SQL 实战,答疑回复慢课程体验一般,3,负面,2025-12-23
R040319,SQL 实战,内容偏浅不适合进阶学员,3,负面,2026-01-14
